Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,601331,-,-,-,20.29,-100.54,-6,2077,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2015,1,1,0,0,0,0,0,0,0,0,0,9,169.08,0,0.157,1.7000000000000002,1.561,96.9,100,10,790,0.0000,0.0000,N/A
2015,1,1,0,30,0,0,0,0,0,0,0,9,175.48,0,0.157,1.6,1.55,96.9,100,9,790,0.0000,0.0000,N/A
2015,1,1,1,0,0,0,0,0,0,0,1,9,175.66,0,0.157,1.5,1.54,101.2,100,9,790,0.0000,0.0000,N/A
2015,1,1,1,30,0,0,0,0,0,0,1,9,169.31,0,0.157,1.4000000000000001,1.538,101.2,100,9,790,0.0000,0.0000,N/A
2015,1,1,2,0,0,0,0,0,0,0,1,9,162.49,0,0.157,1.4000000000000001,1.536,107.2,100,9,790,0.0000,0.0000,N/A
2015,1,1,2,30,0,0,0,0,0,0,0,9,155.6,0,0.157,1.2000000000000002,1.545,107.2,100,9,790,0.0000,0.0000,N/A
2015,1,1,3,0,0,0,0,0,0,0,1,9,148.70000000000002,0,0.157,1.2000000000000002,1.555,114.30000000000001,100,9,790,0.0000,0.0000,N/A
2015,1,1,3,30,0,0,0,0,0,0,1,8,141.81,0,0.157,1,1.568,114.30000000000001,100,8,790,0.0000,0.0000,N/A
2015,1,1,4,0,0,0,0,0,0,0,1,8,134.94,0,0.157,0.8,1.581,124.30000000000001,100,8,790,0.0000,0.0000,N/A
2015,1,1,4,30,0,0,0,0,0,0,1,8,128.09,0,0.157,0.7000000000000001,1.589,124.30000000000001,100,8,790,0.0000,0.0000,N/A
2015,1,1,5,0,0,0,0,0,0,0,1,8,121.28,0,0.157,0.7000000000000001,1.599,135.70000000000002,100,8,790,0.0000,0.0000,N/A
2015,1,1,5,30,0,0,0,0,0,0,0,8,114.52,0,0.157,0.7000000000000001,1.601,135.70000000000002,100,8,790,0.0000,0.0000,N/A
2015,1,1,6,0,0,0,0,0,0,0,1,8,107.82000000000001,0,0.157,0.7000000000000001,1.603,144.3,100,8,790,0.0000,0.0000,N/A
