Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,601331,-,-,-,20.29,-100.54,-6,2077,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,0,4.800000000000001,169.05,0,0.16,1.7000000000000002,1.1,72,75.11,9,797,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,3,4.800000000000001,175.46,0,0.16,1.8,1.1,71,76.65,8.700000000000001,797,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,0,5.800000000000001,175.70000000000002,0,0.16,1.9000000000000001,1.1,70,83.5,8.4,797,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,0,5.800000000000001,169.35,0,0.16,2.2,1.2000000000000002,70,82.94,8.5,797,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,0,6.9,162.53,0,0.16,2.5,1.2000000000000002,69,89.72,8.5,797,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,0,6.9,155.64000000000001,0,0.16,2.4000000000000004,1.2000000000000002,67,90.33,8.4,797,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,7.7,148.74,0,0.16,2.3000000000000003,1.3,65,95.33,8.4,797,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,7.7,141.85,0,0.16,2.3000000000000003,1.3,65,95.33,8.4,797,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,8.1,134.97,0,0.16,2.3000000000000003,1.4000000000000001,64,97.14,8.5,797,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,8.1,128.13,0,0.16,2.3000000000000003,1.4000000000000001,66,97.14,8.5,797,0.0000,0.0000,N/A
2018,1,1,5,0,0,0,0,0,0,0,0,8.3,121.32000000000001,0,0.16,2.3000000000000003,1.5,69,97.67,8.6,797,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,8.3,114.56,0,0.16,2.2,1.5,72,98.46000000000001,8.5,798,0.0000,0.0000,N/A
2018,1,1,6,0,0,0,0,0,0,0,0,8.3,107.86,0,0.16,2,1.5,74,98.83,8.5,798,0.0000,0.0000,N/A
2018,1,1,6,30,0,0,0,0,0,0,0,8.3,101.23,0,0.16,2,1.5,76,98.16,8.6,798,0.0000,0.0000,N/A
2018,1,1,7,0,0,0,0,0,0,0,0,8.4,94.69,0,0.16,2.1,1.5,77,98.45,8.6,798,0.0000,0.0000,N/A
2018,1,1,7,30,21,104,25,21,104,25,0,8.4,88.03,0,0.16,2.4000000000000004,1.5,75,93.29,9.4,798,0.0000,0.0000,N/A
2018,1,1,8,0,55,299,97,55,340,103,0,8.9,81.9,17,0.16,2.8000000000000003,1.5,74,92.06,10.100000000000001,799,0.0000,0.0000,N/A
2018,1,1,8,30,79,519,206,79,519,206,0,8.9,75.83,0,0.16,3.1,1.6,74,84.45,11.4,799,10.0030,7.6758,N/A
2018,1,1,9,0,97,634,314,97,634,314,0,9,69.97,0,0.16,3.4000000000000004,1.6,74,78.63,12.600000000000001,799,16.0792,12.4521,N/A
2018,1,1,9,30,110,713,418,110,713,418,0,9,64.39,0,0.16,3.4000000000000004,1.6,75,71.33,14.100000000000001,799,22.3950,17.4402,N/A
2018,1,1,10,0,122,766,514,122,766,514,0,8.1,59.18,0,0.16,3.4000000000000004,1.6,75,61.57,15.5,799,28.4714,22.2471,N/A
2018,1,1,10,30,129,806,598,129,806,598,0,8.1,54.45,0,0.16,3.3000000000000003,1.6,75,57.77,16.5,799,33.9258,26.5652,N/A
2018,1,1,11,0,136,834,668,136,834,668,0,7.300000000000001,50.35,0,0.16,3.2,1.6,76,51.2,17.5,799,38.5406,30.2200,N/A
2018,1,1,11,30,144,846,721,144,846,721,0,7.300000000000001,47.02,0,0.16,3.1,1.6,77,48.94,18.2,798,42.0808,33.0249,N/A
2018,1,1,12,0,155,844,755,155,844,755,0,6.7,44.65,0,0.16,3.1,1.6,79,45.28,18.8,798,44.3841,34.8508,N/A
2018,1,1,12,30,155,854,775,155,854,775,0,6.7,43.4,0,0.16,3,1.6,81,44.11,19.200000000000003,797,45.7198,35.9087,N/A
2018,1,1,13,0,149,865,778,149,865,778,0,6.300000000000001,43.36,0,0.16,3,1.6,84,41.910000000000004,19.6,797,45.9018,36.0519,N/A
2018,1,1,13,30,146,866,763,146,866,763,0,6.300000000000001,44.54,0,0.16,3,1.5,86,41.6,19.700000000000003,796,44.8686,35.2321,N/A
2018,1,1,14,0,137,865,729,137,865,729,0,6,46.84,0,0.16,3,1.5,88,40.15,19.900000000000002,796,42.5722,33.4119,N/A
2018,1,1,14,30,135,842,675,135,842,675,0,6,50.11,0,0.16,2.8000000000000003,1.5,85,40.15,19.900000000000002,796,38.9792,30.5660,N/A
2018,1,1,15,0,132,807,604,132,807,604,0,5.6000000000000005,54.18,0,0.16,2.7,1.5,82,39.2,19.900000000000002,795,34.3076,26.8670,N/A
2018,1,1,15,30,126,760,519,126,760,519,0,5.6000000000000005,58.870000000000005,0,0.16,2.7,1.5,77,40.43,19.400000000000002,795,28.7983,22.5061,N/A
2018,1,1,16,0,121,688,422,121,688,422,0,5.4,64.05,0,0.16,2.6,1.5,71,40.980000000000004,19,796,22.6643,17.6546,N/A
2018,1,1,16,30,109,597,317,109,597,317,0,5.4,69.61,0,0.16,2.7,1.5,66,43.89,17.900000000000002,796,16.2849,12.6170,N/A
2018,1,1,17,0,92,460,207,92,460,207,0,6.2,75.46000000000001,0,0.16,2.7,1.6,61,49.43,16.8,796,10.0824,7.7419,N/A
2018,1,1,17,30,63,287,105,63,287,105,0,6.2,81.52,0,0.16,2.7,1.6,61,49.43,16.8,796,0.0000,0.0000,N/A
2018,1,1,18,0,23,80,26,23,80,26,0,6.5,87.66,0,0.16,3.1,1.6,57,62.63,13.5,797,0.0000,0.0000,N/A
2018,1,1,18,30,0,0,0,0,0,0,0,6.5,94.29,0,0.16,3.3000000000000003,1.6,58,67.73,12.3,797,0.0000,0.0000,N/A
2018,1,1,19,0,0,0,0,0,0,0,0,6.4,100.82000000000001,0,0.16,3.6,1.6,60,72.93,11.100000000000001,797,0.0000,0.0000,N/A
2018,1,1,19,30,0,0,0,0,0,0,0,6.4,107.45,0,0.16,3.5,1.6,64,77,10.3,798,0.0000,0.0000,N/A
2018,1,1,20,0,0,0,0,0,0,0,0,6.1000000000000005,114.15,0,0.16,3.4000000000000004,1.6,67,79.56,9.5,798,0.0000,0.0000,N/A
2018,1,1,20,30,0,0,0,0,0,0,0,6.1000000000000005,120.9,0,0.16,3.3000000000000003,1.5,73,82.83,8.9,798,0.0000,0.0000,N/A
2018,1,1,21,0,0,0,0,0,0,0,0,5.800000000000001,127.71000000000001,0,0.16,3.1,1.5,79,83.84,8.4,798,0.0000,0.0000,N/A
2018,1,1,21,30,0,0,0,0,0,0,0,5.800000000000001,134.56,0,0.16,3,1.5,83,85.56,8.1,798,0.0000,0.0000,N/A
2018,1,1,22,0,0,0,0,0,0,0,0,5.5,141.43,0,0.16,2.8000000000000003,1.5,88,86.19,7.7,798,0.0000,0.0000,N/A
2018,1,1,22,30,0,0,0,0,0,0,0,5.5,148.33,0,0.16,2.6,1.5,89,87.96000000000001,7.4,798,0.0000,0.0000,N/A
2018,1,1,23,0,0,0,0,0,0,0,0,5.300000000000001,155.23,0,0.16,2.4000000000000004,1.5,91,88.26,7.1000000000000005,798,0.0000,0.0000,N/A
2018,1,1,23,30,0,0,0,0,0,0,0,5.300000000000001,162.13,0,0.16,2.1,1.5,90,89.97,6.800000000000001,797,0.0000,0.0000,N/A
2018,1,2,0,0,0,0,0,0,0,0,0,5.1000000000000005,168.97,0,0.16,1.9000000000000001,1.5,90,90.68,6.5,797,0.0000,0.0000,N/A
2018,1,2,0,30,0,0,0,0,0,0,0,5.1000000000000005,175.42000000000002,0,0.16,1.7000000000000002,1.4000000000000001,90,91.94,6.300000000000001,797,0.0000,0.0000,N/A
2018,1,2,1,0,0,0,0,0,0,0,0,5,175.84,0,0.16,1.6,1.4000000000000001,90,93.17,6,797,0.0000,0.0000,N/A
2018,1,2,1,30,0,0,0,0,0,0,0,5,169.48,0,0.16,1.4000000000000001,1.4000000000000001,91,94.34,5.800000000000001,796,0.0000,0.0000,N/A
2018,1,2,2,0,0,0,0,0,0,0,0,4.9,162.65,0,0.16,1.2000000000000002,1.5,92,96.12,5.5,796,0.0000,0.0000,N/A
2018,1,2,2,30,0,0,0,0,0,0,0,4.9,155.75,0,0.16,1.1,1.5,97,96.79,5.4,796,0.0000,0.0000,N/A
2018,1,2,3,0,0,0,0,0,0,0,0,5,148.85,0,0.16,1.1,1.5,103,97.9,5.300000000000001,796,0.0000,0.0000,N/A
2018,1,2,3,30,0,0,0,0,0,0,0,5,141.95000000000002,0,0.16,1,1.5,107,97.9,5.300000000000001,796,0.0000,0.0000,N/A
2018,1,2,4,0,0,0,0,0,0,0,0,5.2,135.07,0,0.16,1,1.5,112,99.12,5.300000000000001,796,0.0000,0.0000,N/A
2018,1,2,4,30,0,0,0,0,0,0,0,5.2,128.22,0,0.16,0.9,1.5,112,98.43,5.4,796,0.0000,0.0000,N/A
2018,1,2,5,0,0,0,0,0,0,0,0,5.4,121.41,0,0.16,0.9,1.5,112,100,5.4,796,0.0000,0.0000,N/A
2018,1,2,5,30,0,0,0,0,0,0,0,5.5,114.64,0,0.16,0.8,1.6,114,99.22,5.6000000000000005,797,0.0000,0.0000,N/A
